continent,country_clean,ISO_A,year,sector,age_group,education_level,lpr_m,lpr_f,lpr_gap
Asia,Thailand,THA_A,2022,Other,"Youth (15-24)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Youth (15-24)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Youth (15-24)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Youth (15-24)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Senior (55+)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Senior (55+)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Senior (55+)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Senior (55+)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2022,Other,"Senior (55+)","Not stated",60.61957142857143,41.97842857142858,18.641142857142853
Asia,Thailand,THA_A,2021,Other,"Child (<15)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Child (<15)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Child (<15)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Child (<15)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Adults (25-54)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Adults (25-54)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Adults (25-54)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Adults (25-54)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Adults (25-54)","Not stated",92.72545454545455,79.3931818181818,13.332272727272752
Asia,Thailand,THA_A,2021,Other,"Youth (15-24)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Youth (15-24)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Youth (15-24)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Youth (15-24)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Senior (55+)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Senior (55+)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Senior (55+)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Senior (55+)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2021,Other,"Senior (55+)","Not stated",60.08428571428572,41.555,18.52928571428572
Asia,Thailand,THA_A,2020,Other,"Child (<15)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2020,Other,"Child (<15)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2020,Other,"Child (<15)",Intermediate,NULL,NULL,NULL
Asia,Thailand,THA_A,2020,Other,"Child (<15)",Advanced,NULL,NULL,NULL
Asia,Thailand,THA_A,2020,Other,"Adults (25-54)","Less than basic",NULL,NULL,NULL
Asia,Thailand,THA_A,2020,Other,"Adults (25-54)",Basic,NULL,NULL,NULL
Asia,Thailand,THA_A,2020,Other,"Adults (25-54)",Intermediate,NULL,NULL,NULL
